year,month,first_field_NDMI,second_field_NDMI,first_field_scenes,second_field_scenes
2017,1,0.366,0.387,2,2
2017,2,0.338,0.365,2,2
2017,3,0.319,0.31,1,1
2017,4,0.314,0.276,1,1
2017,6,0.28,0.258,1,1
2017,8,0.365,0.357,1,1
2017,10,0.333,0.337,2,2
2017,11,0.343,0.358,2,2
2017,12,0.3,0.36,4,4
2018,1,0.354,0.362,5,5
2018,2,0.342,0.348,4,4
2018,3,0.332,0.336,5,5
2018,4,0.298,0.283,6,6
2018,5,0.308,0.323,5,5
2018,6,,,1,1
2018,7,0.361,0.349,5,5
2018,8,0.36,0.355,3,3
2018,9,0.356,0.343,3,3
2018,10,0.354,0.341,3,3
2018,11,0.341,0.345,5,5
2018,12,0.319,0.358,6,6
2019,1,0.358,0.366,6,6
2019,2,0.318,0.348,5,5
2019,3,0.287,0.317,6,6
2019,4,0.315,0.314,6,6
2019,5,0.304,0.296,3,3
2019,6,0.341,0.325,4,4
2019,7,0.371,0.368,3,3
2019,8,0.334,0.333,3,3
2019,9,0.345,0.347,5,5
2019,10,0.351,0.351,2,2
2019,11,0.329,0.35,5,5
2019,12,0.324,0.355,6,6
2020,1,0.362,0.361,6,6
2020,2,0.373,0.361,5,5
2020,3,0.368,0.347,6,6
2020,4,0.356,0.331,6,6
2020,5,0.334,0.296,5,5
2020,6,0.37,0.364,2,2
2020,7,0.3,0.31,3,3
2020,8,0.365,0.353,2,2
2020,9,0.313,0.311,2,2
2020,10,0.345,0.333,3,3
2020,11,0.31,0.313,6,6
2020,12,0.305,0.346,4,4
2021,1,0.343,0.355,4,4
2021,2,0.364,0.358,5,5
2021,3,0.338,0.334,6,6
2021,4,0.331,0.306,6,6
2021,5,0.31,0.301,5,5
2021,6,,,1,1
2021,7,0.274,0.334,4,4
2021,8,0.292,0.306,2,2
2021,9,,,1,1
2021,10,0.265,0.289,2,2
2021,11,0.267,0.324,5,5
2021,12,0.218,0.308,7,7
2022,1,0.324,0.348,6,6
2022,2,0.205,0.229,9,9
2022,3,0.175,0.241,8,8
2022,4,0.177,0.23,7,7
2022,5,0.166,0.21,6,6
2022,6,0.03,0.044,3,3
2022,8,0.144,0.153,7,7
2022,9,0.194,0.19,4,4
2022,10,0.215,0.197,7,7
2022,11,0.229,0.205,6,6
2022,12,0.229,0.225,6,6
2023,1,0.168,0.216,8,8
2023,2,0.112,0.159,8,8
2023,3,0.119,0.135,9,9
2023,4,0.143,0.13,11,11
2023,5,0.141,0.14,6,6
2023,6,0.212,0.181,12,12
2023,7,0.243,0.201,6,6
2023,8,0.235,0.21,12,12
2023,9,0.249,0.223,7,7
2023,10,0.259,0.246,6,6
2023,11,0.247,0.249,8,8
2023,12,0.241,0.257,5,5
2024,1,0.217,0.248,5,5
2024,2,0.192,0.211,7,7
2024,3,0.17,0.174,6,6
2024,4,0.152,0.129,6,6
2024,5,0.154,0.118,6,6
2024,6,,0.198,3,3
2024,7,0.232,0.19,4,4
2024,8,0.259,0.226,4,4
2024,9,,,1,1
2024,10,0.218,0.218,3,3
2024,11,0.248,0.254,6,6
2024,12,0.225,0.236,6,6
2025,1,0.262,0.246,4,4
2025,2,0.215,0.219,5,5
2025,3,0.195,0.199,8,8
2025,4,0.187,0.185,7,7
2025,5,0.182,0.177,4,4
2025,7,0.239,0.228,7,7
2025,8,0.26,0.254,3,3
2025,9,0.249,0.25,3,3
2025,10,0.252,0.241,6,6
2025,11,0.246,0.243,7,7
2025,12,0.239,0.253,8,8
2026,1,0.267,0.258,7,7
2026,2,0.253,0.241,6,6
2026,3,0.2,0.21,7,7
2026,4,0.203,0.215,7,7
